duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack_type,label
2.47,tcp,imap,SF,4950,1972,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,217,51,0.04,0.18,0.15,0.02,0.92,0.21,0.05,146,113,0.8,0.0,0.18,0.28,0.22,0.3,0.14,0.03,normal,0
0.48,tcp,pop3,SH,950,401,0,0,0,3,0,1,4,0,0,0,2,0,4,0,0,0,401,390,0.86,0.85,0.06,0.08,0.27,0.02,0.31,6,58,0.22,0.17,0.09,0.05,0.48,0.89,0.01,0.09,neptune,1
2.09,tcp,ftp,S0,2336,2488,0,0,0,5,0,1,2,0,0,0,1,0,4,0,0,0,83,154,0.1,0.0,0.12,0.06,0.89,0.1,0.03,178,163,0.99,0.15,0.06,0.02,0.02,0.17,0.01,0.08,normal,0
0.27,tcp,finger,REJ,817,173,0,0,0,2,0,0,6,0,0,0,2,0,2,0,0,0,209,73,0.03,0.05,0.07,0.11,0.46,0.15,0.05,88,68,0.43,0.08,0.04,0.13,0.12,0.24,0.07,0.24,satan,2
0.49,udp,dns,SF,2188,2113,0,0,0,8,0,1,0,0,0,0,2,0,0,0,0,0,426,87,0.15,0.08,0.1,0.02,0.99,0.0,0.25,164,162,0.85,0.03,0.03,0.2,0.05,0.12,0.28,0.07,normal,0
0.82,tcp,auth,SF,606,4341,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,251,253,0.08,0.02,0.11,0.07,0.93,0.09,0.0,57,232,0.74,0.09,0.06,0.25,0.06,0.13,0.05,0.06,normal,0
0.55,tcp,domain_u,SF,54,4,0,0,0,1,0,0,6,0,0,0,1,0,3,0,0,0,485,211,0.13,0.18,0.19,0.14,0.8,0.1,0.03,187,130,0.73,0.01,0.07,0.05,0.08,0.03,0.13,0.09,portsweep,2
0.42,tcp,dns,S0,816,734,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,187,504,0.04,0.36,0.08,0.01,0.97,0.01,0.05,203,158,1.0,0.21,0.11,0.11,0.05,0.03,0.25,0.02,normal,0
1.19,udp,http,SF,1406,70,0,0,0,2,0,1,7,0,0,0,2,0,2,0,0,0,133,343,0.09,0.01,0.08,0.15,0.9,0.1,0.12,131,156,0.55,0.03,0.08,0.06,0.21,0.1,0.03,0.03,satan,2
0.56,tcp,ssh,SF,285,50,0,0,0,4,0,0,1,0,0,0,1,0,3,0,0,0,251,276,0.06,0.15,0.08,0.02,0.91,0.19,0.04,192,230,0.99,0.01,0.06,0.03,0.35,0.77,0.0,0.32,neptune,1
1.48,tcp,imap,SF,3300,5464,0,0,0,17,0,1,2,0,0,0,2,0,0,0,0,0,488,397,0.2,0.05,0.08,0.14,0.79,0.07,0.06,138,131,0.95,0.1,0.02,0.07,0.1,0.04,0.04,0.31,normal,0
0.78,udp,finger,SF,740,121,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,469,94,0.38,0.91,0.01,0.01,0.65,0.01,0.03,65,107,0.86,0.12,0.31,0.0,0.92,0.01,0.12,0.44,neptune,1
1.17,tcp,ftp,OTH,3893,12568,0,0,0,5,0,1,0,0,0,0,2,0,3,0,0,0,375,142,0.1,0.02,0.02,0.01,0.81,0.06,0.01,66,158,0.84,0.02,0.01,0.13,0.16,0.04,0.05,0.08,normal,0
0.03,tcp,dns,SF,39,44,0,0,0,4,0,1,1,0,0,0,0,0,3,0,0,0,267,476,0.03,0.08,0.08,0.01,0.71,0.44,0.2,22,166,0.75,0.08,0.24,0.02,0.21,0.03,0.29,0.02,ipsweep,2
0.79,udp,finger,SF,61,94,0,0,0,0,0,1,3,0,0,0,2,0,1,0,0,0,360,408,0.62,0.71,0.03,0.14,0.54,0.16,0.1,171,159,0.15,0.07,0.05,0.19,0.62,0.64,0.0,0.14,smurf,1
0.88,tcp,finger,SF,2319,2,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,175,69,0.36,0.72,0.01,0.01,0.86,0.16,0.0,173,135,0.37,0.2,0.0,0.05,0.06,0.66,0.14,0.17,neptune,1
0.17,udp,http,SF,191,30,0,0,0,3,0,0,4,0,0,0,1,0,1,0,0,0,180,124,0.27,0.06,0.02,0.14,0.76,0.02,0.07,118,221,0.51,0.05,0.01,0.02,0.01,0.01,0.35,0.02,satan,2
0.87,udp,dns,RSTO,1708,1891,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,88,129,0.01,0.04,0.06,0.21,0.99,0.28,0.01,248,105,0.97,0.12,0.02,0.04,0.0,0.16,0.08,0.05,normal,0
3.28,tcp,ssh,SF,3468,215,0,0,0,13,0,1,1,0,0,0,1,0,3,0,0,1,22,206,0.13,0.07,0.11,0.18,0.87,0.2,0.07,5,109,0.96,0.17,0.06,0.16,0.16,0.04,0.39,0.03,normal,0
3.54,icmp,private,SF,10342,16257,0,0,0,14,0,1,1,0,0,0,0,0,3,0,0,0,29,112,0.02,0.11,0.14,0.07,0.99,0.02,0.01,20,184,0.98,0.15,0.15,0.11,0.08,0.1,0.09,0.02,normal,0
0.73,tcp,pop3,SH,1848,179,0,0,0,3,0,0,6,0,0,0,1,0,1,0,0,0,438,489,0.68,0.86,0.03,0.04,0.12,0.07,0.06,87,217,0.59,0.06,0.05,0.01,0.63,0.12,0.33,0.02,teardrop,1
1.81,tcp,auth,SF,3490,672,0,0,0,11,0,1,1,0,0,0,1,0,4,0,0,0,253,257,0.03,0.12,0.35,0.05,0.99,0.01,0.01,108,187,0.93,0.02,0.05,0.07,0.19,0.06,0.18,0.12,normal,0
0.94,udp,private,SF,1019,678,0,0,0,14,0,1,0,0,0,0,2,0,2,0,0,0,503,122,0.02,0.01,0.24,0.16,0.85,0.07,0.34,171,25,0.99,0.0,0.12,0.01,0.01,0.04,0.01,0.1,normal,0
